,engine id,team type,teams,safety day,start day,end day,penalty
9,42,a,1,13,3,6,0
8,41,a,1,23,7,10,0
15,68,a,1,13,12,14,0
1,24,a,1,26,17,20,0
14,66,a,1,18,21,23,45
3,34,a,1,8,25,28,250
18,81,a,1,6,not maintained,not maintained,250
20,90,a,1,28,not maintained,not maintained,250
23,100,a,1,24,not maintained,not maintained,250
2,31,b,2,14,4,9,0
5,36,b,2,24,12,17,0
12,61,b,2,23,19,23,0
11,56,b,2,18,24,28,180
17,77,b,2,27,not maintained,not maintained,250
19,82,b,2,11,not maintained,not maintained,250
21,91,b,2,29,not maintained,not maintained,250
4,35,a,3,8,2,5,0
22,92,a,3,24,6,14,0
0,20,a,3,10,15,19,100
13,64,a,3,24,21,23,0
10,49,a,3,14,25,28,250
16,76,b,4,3,2,5,0
6,37,b,4,21,15,20,0
7,40,b,4,29,23,28,0
