,engine id,team type,teams,safety day,start day,end day,penalty
6,37,a,1,21,1,4,0
1,24,a,1,26,8,11,0
14,66,a,1,18,17,19,0
9,42,a,1,13,21,24,128
16,76,a,1,3,not maintained,not maintained,250
10,49,b,2,14,1,6,0
8,41,b,2,23,11,16,0
7,40,b,2,29,18,23,0
3,34,b,2,8,25,30,250
4,35,b,2,8,not maintained,not maintained,250
18,81,b,2,6,not maintained,not maintained,250
20,90,b,2,28,not maintained,not maintained,250
21,91,b,2,29,not maintained,not maintained,250
23,100,b,2,24,not maintained,not maintained,250
13,64,a,3,24,10,12,0
15,68,a,3,13,14,16,5
11,56,a,3,18,18,20,0
2,31,a,3,14,23,26,162
17,77,a,3,27,not maintained,not maintained,250
0,20,b,4,10,3,8,0
5,36,b,4,24,12,17,0
12,61,b,4,23,23,27,0
19,82,b,4,11,not maintained,not maintained,250
22,92,b,4,24,not maintained,not maintained,250
